index,key,priority,max_delay_ms,arrival_ts,send_ts,done_ts,delay_ms,latency_us
1,user_0001,M,7448,2025-11-19T19:20:51.297781-08:00,2025-11-19T19:20:51.298735-08:00,2025-11-19T19:20:51.306632-08:00,0,7896
2,data_0002,M,5777,2025-11-19T19:20:52.430781-08:00,2025-11-19T19:20:52.431992-08:00,2025-11-19T19:20:52.434837-08:00,1,2845
3,item_0003,M,8314,2025-11-19T19:20:52.503781-08:00,2025-11-19T19:20:52.504155-08:00,2025-11-19T19:20:52.507064-08:00,0,2909
4,key_0004,M,1842,2025-11-19T19:20:52.509781-08:00,2025-11-19T19:20:52.510349-08:00,2025-11-19T19:20:52.512267-08:00,0,1918
5,user_0005,L,45492,2025-11-19T19:20:52.557781-08:00,2025-11-19T19:20:52.559105-08:00,2025-11-19T19:20:52.561493-08:00,1,2388
6,data_0006,H,0,2025-11-19T19:20:52.557781-08:00,2025-11-19T19:20:52.558992-08:00,2025-11-19T19:20:52.561512-08:00,1,2519
7,item_0007,M,3535,2025-11-19T19:20:52.557781-08:00,2025-11-19T19:20:52.559032-08:00,2025-11-19T19:20:52.561518-08:00,1,2486
8,key_0008,M,6466,2025-11-19T19:20:52.566781-08:00,2025-11-19T19:20:52.567375-08:00,2025-11-19T19:20:52.569321-08:00,0,1946
9,user_0009,M,1051,2025-11-19T19:20:52.566781-08:00,2025-11-19T19:20:52.567354-08:00,2025-11-19T19:20:52.569349-08:00,0,1995
10,data_0010,H,808,2025-11-19T19:20:52.639781-08:00,2025-11-19T19:20:52.64287-08:00,2025-11-19T19:20:52.645907-08:00,3,3036
11,item_0011,L,32768,2025-11-19T19:20:52.639781-08:00,2025-11-19T19:20:52.643285-08:00,2025-11-19T19:20:52.645869-08:00,3,2583
12,key_0012,L,45705,2025-11-19T19:20:52.639781-08:00,2025-11-19T19:20:52.643248-08:00,2025-11-19T19:20:52.645845-08:00,3,2596
13,user_0013,H,0,2025-11-19T19:20:52.682781-08:00,2025-11-19T19:20:52.68326-08:00,2025-11-19T19:20:52.684667-08:00,0,1406
14,data_0014,L,91731,2025-11-19T19:20:52.682781-08:00,2025-11-19T19:20:52.683274-08:00,2025-11-19T19:20:52.684658-08:00,0,1383
15,item_0015,L,67603,2025-11-19T19:20:52.852781-08:00,2025-11-19T19:20:52.854597-08:00,2025-11-19T19:20:52.859511-08:00,1,4913
16,key_0016,L,214227,2025-11-19T19:20:52.918781-08:00,2025-11-19T19:20:52.920056-08:00,2025-11-19T19:20:52.923981-08:00,1,3924
17,user_0017,M,4629,2025-11-19T19:20:52.970781-08:00,2025-11-19T19:20:52.971073-08:00,2025-11-19T19:20:52.975145-08:00,0,4071
18,data_0018,H,816,2025-11-19T19:20:52.977781-08:00,2025-11-19T19:20:52.97974-08:00,2025-11-19T19:20:52.98152-08:00,1,1779
