request_id,priority,arrival_ts,deadline_ts,delay_budget_ms,scheduled_ts,scheduling_delay_ms,available_threads_at_schedule,required_threads,decision
req-000001-usertable:user_0001,MEDIUM,2025-11-26T04:40:10.494000000Z,2025-11-26T04:40:17.942000000Z,7448,2025-11-26T04:40:11.612000000Z,1118,8,2,scheduled
req-000002-usertable:data_0002,MEDIUM,2025-11-26T04:40:11.627000000Z,2025-11-26T04:40:17.404000000Z,5777,2025-11-26T04:40:11.628000000Z,1,8,2,scheduled
req-000003-usertable:item_0003,MEDIUM,2025-11-26T04:40:11.700000000Z,2025-11-26T04:40:20.014000000Z,8314,2025-11-26T04:40:11.701000000Z,1,8,2,scheduled
req-000004-usertable:key_0004,MEDIUM,2025-11-26T04:40:11.706000000Z,2025-11-26T04:40:13.548000000Z,1842,2025-11-26T04:40:11.707000000Z,1,8,2,scheduled
req-000006-usertable:data_0006,HIGH,2025-11-26T04:40:11.754000000Z,2025-11-26T04:40:11.754000000Z,0,2025-11-26T04:40:11.758000000Z,4,8,1,urgent-admit
req-000007-usertable:item_0007,MEDIUM,2025-11-26T04:40:11.754000000Z,2025-11-26T04:40:15.289000000Z,3535,2025-11-26T04:40:11.758000000Z,4,8,2,scheduled
req-000005-usertable:user_0005,LOW,2025-11-26T04:40:11.754000000Z,2025-11-26T04:40:57.246000000Z,45492,2025-11-26T04:40:11.758000000Z,4,7,4,scheduled
req-000008-usertable:key_0008,MEDIUM,2025-11-26T04:40:11.763000000Z,2025-11-26T04:40:18.229000000Z,6466,2025-11-26T04:40:11.764000000Z,1,8,2,scheduled
req-000009-usertable:user_0009,MEDIUM,2025-11-26T04:40:11.763000000Z,2025-11-26T04:40:12.814000000Z,1051,2025-11-26T04:40:11.764000000Z,1,8,2,scheduled
req-000010-usertable:data_0010,HIGH,2025-11-26T04:40:11.836000000Z,2025-11-26T04:40:12.644000000Z,808,2025-11-26T04:40:11.837000000Z,1,8,1,scheduled
req-000012-usertable:key_0012,LOW,2025-11-26T04:40:11.836000000Z,2025-11-26T04:40:57.541000000Z,45705,2025-11-26T04:40:11.837000000Z,1,8,4,scheduled
req-000011-usertable:item_0011,LOW,2025-11-26T04:40:11.836000000Z,2025-11-26T04:40:44.604000000Z,32768,2025-11-26T04:40:11.837000000Z,1,8,4,scheduled
req-000014-usertable:data_0014,LOW,2025-11-26T04:40:11.879000000Z,2025-11-26T04:41:43.610000000Z,91731,2025-11-26T04:40:11.879000000Z,0,8,4,scheduled
req-000013-usertable:user_0013,HIGH,2025-11-26T04:40:11.879000000Z,2025-11-26T04:40:11.879000000Z,0,2025-11-26T04:40:11.879000000Z,0,8,1,urgent-admit
req-000015-usertable:item_0015,LOW,2025-11-26T04:40:12.049000000Z,2025-11-26T04:41:19.652000000Z,67603,2025-11-26T04:40:12.050000000Z,1,8,4,scheduled
req-000016-usertable:key_0016,LOW,2025-11-26T04:40:12.115000000Z,2025-11-26T04:43:46.342000000Z,214227,2025-11-26T04:40:12.116000000Z,1,8,4,scheduled
req-000017-usertable:user_0017,MEDIUM,2025-11-26T04:40:12.167000000Z,2025-11-26T04:40:16.796000000Z,4629,2025-11-26T04:40:12.168000000Z,1,8,2,scheduled
req-000018-usertable:data_0018,HIGH,2025-11-26T04:40:12.174000000Z,2025-11-26T04:40:12.990000000Z,816,2025-11-26T04:40:12.175000000Z,1,8,1,scheduled
req-000019-usertable:item_0019,HIGH,2025-11-26T04:40:12.174000000Z,2025-11-26T04:40:12.176000000Z,2,2025-11-26T04:40:12.175000000Z,1,8,1,urgent-admit
req-000020-usertable:key_0020,HIGH,2025-11-26T04:40:12.174000000Z,2025-11-26T04:40:12.567000000Z,393,2025-11-26T04:40:12.175000000Z,1,8,1,scheduled
req-000021-usertable:user_0021,LOW,2025-11-26T04:40:12.187000000Z,2025-11-26T04:41:25.024000000Z,72837,2025-11-26T04:40:12.188000000Z,1,8,4,scheduled
req-000022-usertable:data_0022,MEDIUM,2025-11-26T04:40:12.195000000Z,2025-11-26T04:40:20.691000000Z,8496,2025-11-26T04:40:12.196000000Z,1,8,2,scheduled
req-000023-usertable:item_0023,LOW,2025-11-26T04:40:12.200000000Z,2025-11-26T04:40:22.489000000Z,10289,2025-11-26T04:40:12.200000000Z,0,8,4,scheduled
req-000024-usertable:key_0024,LOW,2025-11-26T04:40:12.208000000Z,2025-11-26T04:40:26.420000000Z,14212,2025-11-26T04:40:12.209000000Z,1,8,4,scheduled
req-000026-usertable:data_0026,MEDIUM,2025-11-26T04:40:12.212000000Z,2025-11-26T04:40:20.465000000Z,8253,2025-11-26T04:40:12.212000000Z,0,8,2,scheduled
req-000025-usertable:user_0025,LOW,2025-11-26T04:40:12.212000000Z,2025-11-26T04:54:56.918000000Z,884706,2025-11-26T04:40:12.212000000Z,0,7,4,scheduled
req-000028-usertable:key_0028,HIGH,2025-11-26T04:40:13.469000000Z,2025-11-26T04:40:14.215000000Z,746,2025-11-26T04:40:13.470000000Z,1,8,1,scheduled
req-000029-usertable:user_0029,MEDIUM,2025-11-26T04:40:13.469000000Z,2025-11-26T04:40:17.401000000Z,3932,2025-11-26T04:40:13.470000000Z,1,8,2,scheduled
req-000027-usertable:item_0027,HIGH,2025-11-26T04:40:13.469000000Z,2025-11-26T04:40:13.970000000Z,501,2025-11-26T04:40:13.470000000Z,1,6,1,scheduled
req-000030-usertable:data_0030,MEDIUM,2025-11-26T04:40:13.475000000Z,2025-11-26T04:40:15.141000000Z,1666,2025-11-26T04:40:13.476000000Z,1,8,2,scheduled
req-000031-usertable:item_0031,MEDIUM,2025-11-26T04:40:13.626000000Z,2025-11-26T04:40:16.330000000Z,2704,2025-11-26T04:40:13.627000000Z,1,8,2,scheduled
req-000032-usertable:key_0032,MEDIUM,2025-11-26T04:40:14.170000000Z,2025-11-26T04:40:21.477000000Z,7307,2025-11-26T04:40:14.171000000Z,1,8,2,scheduled
req-000033-usertable:user_0033,LOW,2025-11-26T04:40:14.195000000Z,2025-11-26T04:53:20.800000000Z,786605,2025-11-26T04:40:14.195000000Z,0,8,4,scheduled
req-000034-usertable:data_0034,HIGH,2025-11-26T04:40:14.249000000Z,2025-11-26T04:40:14.394000000Z,145,2025-11-26T04:40:14.250000000Z,1,8,1,scheduled
req-000036-usertable:key_0036,LOW,2025-11-26T04:40:14.254000000Z,2025-11-26T04:40:28.931000000Z,14677,2025-11-26T04:40:14.254000000Z,0,8,4,scheduled
req-000035-usertable:item_0035,MEDIUM,2025-11-26T04:40:14.254000000Z,2025-11-26T04:40:22.095000000Z,7841,2025-11-26T04:40:14.254000000Z,0,8,2,scheduled
